application_num,decision_date,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lon,dest_lat,Destination,exporter_proxy,importer_proxy
77,2/23/2019,5696,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,29
78,2/23/2019,9970,Petrol,,,,49.123680,14.543720,"Mukalla, Yemen",,3
79,2/23/2019,24132,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,24
8,11/2/2018,17510,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,19
8,11/2/2018,,,,,,43.752860,13.526220,"Hodeida, Yemen",,19
80,2/25/2019,3951,Mazout,,,,49.123680,14.543720,"Mukalla, Yemen",,3
81,3/1/2019,4800,Gas,,,,43.752860,13.526220,"Hodeida, Yemen",,19
82,3/3/2019,60036,Diesel,,,,45.035469,12.809800,"Aden, Yemen",,2
83,3/6/2019,3100,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,5
84,3/6/2019,25162,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,21
85,3/7/2019,10824,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,14
86,3/7/2019,7136,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,3
87,3/7/2019,15696,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,7
88,3/8/2019,13608,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,13
89,3/10/2019,2178,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,3
9,11/5/2018,15426,Diesel,,,,45.035469,12.809800,"Aden, Yemen",,27
90,3/13/2019,3100,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,5
91,3/15/2019,2900,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,5
92,3/15/2019,11631,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,29
93,3/18/2019,4000,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,5
94,3/18/2019,20896,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,9
95,3/19/2019,30834,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,24
96,3/21/2019,2238,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,3
97,3/24/2019,4200,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,5
98,3/23/2019,30564,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,7
99,3/23/2019,29992,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,24
