application_num,decision_date,offloading_port_cleaned_EN,loading_port_cleaned_EN,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lat,dest_lon,Destination,exporter_proxy,importer_proxy
210,8/8/2019,Hodeida,"Fujairah, UAE",29986,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,AB,9
21,12/8/2018,Nishtun,,1550,Petrol,,,,15.8224426,52.1872488,Nishtun,,29
21,12/8/2018,Nishtun,,841,Diesel,,,,15.8224426,52.1872488,Nishtun,,29
209,8/8/2019,Mukalla,"Al Hamriya, UAE",6055,Diesel,55.503616,25.464044,"Al Hamriya, UAE",14.5404328,49.127197,Mukalla,K,15
208,8/3/2019,Hodeida,"Fujairah, UAE",29871,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,V,25
207,7/31/2019,Hodeida,"Sohar, Oman",20063,Diesel,56.613922,24.486524,"Sohar, Oman",14.7909118,42.9708838,Hodeida,L,29
207,7/31/2019,Hodeida,"Sohar, Oman",10040,Petrol,56.613922,24.486524,"Sohar, Oman",14.7909118,42.9708838,Hodeida,L,29
206,7/31/2019,Nishtun,"Sharjah, UAE",2500,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,M,24
205,7/26/2019,Hodeida,,8278,Gas,32.675759,29.723123,"Suez Canal OPL, Egypt",14.7909118,42.9708838,Hodeida,O,20
204,7/28/2019,Hodeida,"Fujairah, UAE",29259,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,V,25
203,7/24/2019,Hodeida,"Fujairah, UAE",30031,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,V,25
202,7/25/2019,Hodeida,"Fujairah, UAE",4822,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,B,7
202,7/25/2019,Hodeida,"Fujairah, UAE",11165,Mazout,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,B,7
200,7/23/2019,Aden,"Jabel Ali, UAE",60064,Petrol,55.0272904,24.9857145,"Jabel Ali, UAE",12.7854969,45.0186548,Aden,M,2
20,12/8/2018,Aden,,61449,Petrol,,,,12.7854969,45.0186548,Aden,,1
2,10/20/2018,Mukalla,,8760,Petrol,,,,14.5404328,49.127197,Mukalla,,3
199,7/23/2019,Aden,"Al Hamriya, UAE",42087,Diesel,55.503616,25.464044,"Al Hamriya, UAE",12.7854969,45.0186548,Aden,M,2
198,7/22/2019,Mukalla,"Sharjah, UAE",8992,Diesel,55.3776082,25.3609963,"Sharjah, UAE",14.5404328,49.127197,Mukalla,Y,3
197,7/22/2019,Mukalla,"Fujairah, UAE",12984,Petrol,56.343384,25.130988,"Fujairah, UAE",14.5404328,49.127197,Mukalla,AC,16
196,7/21/2019,Aden,"Khor Fakkan, UAE",43434,Mazout,56.3432629,25.3365669,"Khor Fakkan, UAE",12.7854969,45.0186548,Aden,M,2
195,7/22/2019,Hodeida,,9988,Diesel,,,,14.7909118,42.9708838,Hodeida,S,21
195,7/22/2019,Hodeida,,17176,Petrol,,,,14.7909118,42.9708838,Hodeida,S,21
193,7/19/2019,Hodeida,"Fujairah, UAE",7236,Mazout,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,B,7
192,7/19/2019,Mukalla,"Fujairah, UAE",4000,Diesel,56.343384,25.130988,"Fujairah, UAE",14.5404328,49.127197,Mukalla,I,5
191,7/17/2019,Hodeida,"Al Hamriya, UAE",15605,Diesel,55.503616,25.464044,"Al Hamriya, UAE",14.7909118,42.9708838,Hodeida,E,20
190,7/17/2019,Hodeida,"Jabel Ali, UAE",15010,Petrol,55.0272904,24.9857145,"Jabel Ali, UAE",14.7909118,42.9708838,Hodeida,B,21
19,12/6/2018,Nishtun,,3100,Diesel,,,,15.8224426,52.1872488,Nishtun,,5
189,7/15/2019,Mukalla,"Sharjah, UAE",3821,Mazout,55.3776082,25.3609963,"Sharjah, UAE",14.5404328,49.127197,Mukalla,Y,3
188,7/12/2019,Hodeida,"Fujairah, UAE",31116,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,T,30
187,7/10/2019,Hodeida,"Sohar, Oman",11519,Diesel,56.613922,24.486524,"Sohar, Oman",14.7909118,42.9708838,Hodeida,L,29
186,7/10/2019,Hodeida,"Sohar, Oman",9748,Petrol,56.613922,24.486524,"Sohar, Oman",14.7909118,42.9708838,Hodeida,L,29
185,7/7/2019,Mukalla,"Sharjah, UAE",2350,Diesel,55.3776082,25.3609963,"Sharjah, UAE",14.5404328,49.127197,Mukalla,R,5
184,7/7/2019,Nishtun,"Sharjah, UAE",2000,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,R,5
183,7/7/2019,Nishtun,"Sharjah, UAE",2600,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,R,5
182,7/7/2019,Aden,"Taman, Russia",45984,Diesel,36.7102871,45.2120206,"Taman, Russia",12.7854969,45.0186548,Aden,M,2
181,7/7/2019,Hodeida,"Fujairah, UAE",24514,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,V,25
181,7/7/2019,Hodeida,"Fujairah, UAE",5021,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,V,25
180,7/7/2019,Mukalla,"Fujairah, UAE",9992,Diesel,56.343384,25.130988,"Fujairah, UAE",14.5404328,49.127197,Mukalla,AC,16
18,12/5/2018,Mukalla,,3396,Diesel,,,,14.5404328,49.127197,Mukalla,,3
179,7/7/2019,Hodeida,"Sarroch, Italy",3853,Gas,9.0108377,39.0654974,"Sarroch, Italy",14.7909118,42.9708838,Hodeida,J,8
178,7/7/2019,Mukalla,"Fujairah, UAE",9912,Petrol,56.343384,25.130988,"Fujairah, UAE",14.5404328,49.127197,Mukalla,AC,16
177,6/27/2019,Mukalla,"Sharjah, UAE",9000,Diesel,55.3776082,25.3609963,"Sharjah, UAE",14.5404328,49.127197,Mukalla,Y,3
